姓名,性别,民族,出生年月,籍贯,现任职务,党派,代表团,学历,学位,毕业院校,专业
余夕志,男,汉族,1962年4月,安徽岳西,全国人大代表,中共,广东,研究生,工学博士,大连理工大学管理学院,工商管理
余子权,男,汉族,1955年11月,广东兴宁,全国人大代表,中共,广东,在职研究生,管理学硕士,美国国际东西方大学,工商管理专业
余天亮,男,汉族,1984年10月,湖北洪湖,全国人大代表,中共,广东,研究生,工商管理硕士,清华大学,企业战略与政策
汪南东,男,汉族,1953年1月,安徽绩溪,全国人大代表,中共,广东,在职大专,,广东省江门市职工业余大学,企业管理
宋丽萍,女,汉族,1962年12月,山西黎城,全国人大代表,中共,广东,研究生,工商管理硕士,美国达拉斯大学,工商管理学
张广宁,男,汉族,1953年8月,山东惠民,全国人大代表,中共,广东,研究生,哲学硕士,中央党校,法学理论专业
张传卫,男,汉族,1962年6月,河南固始,全国人大代表,中共,广东,在职研究生,管理学硕士,香港浸会大学,工商管理
张红伟,男,汉族,1972年5月,浙江东阳,全国人大代表,中共,广东,在职大学本科,,东北财经大学,会计
张利钿,男,汉族,1964年3月,广东潮安,全国人大代表,,广东,在职大学本科,工商管理硕,中山大学,高级管理人员工商管理硕士专业
张招兴,男,汉族,1963年5月,浙江上虞,全国人大代表,中共,广东,在职大学本科,工商管理硕士,华中科技大学、中山大学,高级管理人员
张国权,男,汉族,1958年10月,广东东源,全国人大代表,,广东,在职大学本科,,中山大学,经济管理
张育彪,男,汉族,1974年10月,广东深圳,全国人大代表,中共,广东,在职研究生,管理学硕士,华南理工大学,管理科学与工程
张泉,男,汉族,1980年10月,山东莘县,全国人大代表,中共,广东,研究生,工程硕士,,
张桂芳,男,汉族,1952年8月,广东从化,全国人大代表,中共,广东,大专,,华南农学院,农业经济管理
张晓明,男,汉族,1963年9月,江苏泰兴,全国人大代表,中共,广东,研究生,法学硕士,中国人民大学,刑法专业
张群英,女,汉族,1966年6月,广东罗定,全国人大代表,,广东,高中,,广东省罗定市泗纶镇泗纶中学,
陈小川,女,汉族,1954年3月,广东遂溪,全国人大代表,中共,广东,省社科院在职研究生,,广东省社科院,法学专业
陈小华,男,汉族,1972年12月,广东湛江,全国人大代表,中共,广东,中央党校大专,,中央党校函授学院,政法专业
陈丹,男,汉族,1966年10月,广东遂溪,全国人大代表,,广东,在职研究生,工商管理硕士,新加坡国立大学,工商管理
陈东,男,汉族,1970年4月,广东遂溪,全国人大代表,中共,广东,省社科院在职研究生,高级管理人员工商管理硕士,广东省社科院、北京大学,法学专业、高级管理人员工商管理
陈伟才,男,汉族,1972年2月,广东阳春,全国人大代表,中共,广东,在职大学本科,,中国人民公安大学,警察管理
陈华伟,男,汉族,1966年4月,广东化州,全国人大代表,,广东,在职研究生,,中国政法大学,民商法
陈丽华,女,汉族,1974年8月,广东饶平,全国人大代表,中共,广东,在职大专,,广东省韩山师范学院,汉语言专业
陈良贤,男,汉族,1963年9月,广东惠来,全国人大代表,中共,广东,省社科院在职研究生,,广东省社科院,法学
陈建华,男,汉族,1956年3月,广东陆丰,全国人大代表,中共,广东,在职研究生,管理学硕士,中山大学,行政管理专业
陈奕威,男,汉族,1962年4月,广东潮安,全国人大代表,中共,广东,省委党校在职研究生,高级管理人员工商管理硕士,省委党校、长江商学院,经济学专业、工商管理
陈敏,女,汉族,1961年2月,湖南祁阳,全国人大代表,九三学社,广东,研究生,工学博士,华南理工大学,轻化工专业
陈舒,女,汉族,1954年7月,河南内黄,全国人大代表,中共,广东,在职大学本科,,中山大学,法律专业
陈瑞爱,女,汉族,1970年12月,广东新兴,全国人大代表,,广东,在职研究生,工学博士,中国农业大学,微生物专业
苑少军,男,汉族,1969年7月,辽宁葫芦岛,全国人大代表,,广东,大学本科,工学学士,中国石油大学,石油加工专业
范冬萍,女,汉族,1965年10月,广东英德,全国人大代表,中共,广东,研究生,哲学博士,华南师范大学哲学管理学研究所,科学技术哲学
范立新,男,汉族,1956年10月,河南虞城,全国人大代表,中共,广东,研究生,,河南省委党校,行政管理
林水栖,男,汉族,1961年9月,广东湛江,全国人大代表,,广东,在职大专,高级管理人员工商管理硕士,北京大学,高级管理人员工商管理
林新华,男,汉族,1953年11月,广东梅县,全国人大代表,中共,广东,大学,,中山医科大学,临床医学专业
欧广源,男,汉族,1948年2月,广东顺德,全国人大农业与农村委员会副主任委员,中共,广东,省委党校大专,,广东省委党校,
卓志强,男,汉族,1962年10月,广东五华,全国人大代表,中共,广东,在职研究生,工商管理硕士,华南理工大学,工商管理
明生,男,汉族,1960年9月,广东惠来,全国人大代表,,广东,大学本科,哲学学士,泰国摩诃朱拉隆功大学,佛学
易凤娇,女,汉族,1983年6月,湖北松滋,全国人大代表,,广东,在职大专,,广东省深圳市广播电视大学,物流管理
罗伟其,男,汉族,1957年1月,广东兴宁,全国人大代表,中共,广东,在职研究生,工学博士,华南理工大学,控制理论与控制工程
罗远芳,女,汉族,1954年7月,广东兴宁,全国人大代表,民盟,广东,在职研究生,工学博士,华南理工大学,材料学专业
罗俊,男,汉族,1956年11月,湖北仙桃,全国人大代表,中共,广东,研究生,博士,,
周天鸿,男,汉族,1956年8月,福建莆田,全国人大常委会委员、全国人大华侨委员会委员，民革中央常委、广东省主委，广东省人大常委会副主任，暨南大学副校长,民革,广东,在职研究生,医学硕士,暨南大学,生物系生物化学与分子生物专业
周波,男,汉族,1956年11月,广东海丰,全国人大华侨委员会委员，国务院港澳事务办公室副主任、党组成员,中共,广东,大学本科,学士,中山大学经济学系,政治经济学
周奕丰,男,汉族,1969年5月,广东汕头,全国人大代表,中共,广东,在职研究生,经济学博士,澳门公开大学,工商管理
周海波,男,汉族,1962年5月,湖南东安,全国人大代表,中共,广东,大学本科,管理学硕士,湖南衡阳医学院,临床医疗
冼润霞,女,汉族,1984年1月,广东增城,全国人大代表,中共,广东,大学本科,工学学士,广东教育学院,电子信息工程
庞国梅,女,汉族,1967年10月,广东湛江,全国人大代表,中共,广东,省委党校研究生,高级管理人员工商管理硕士,中山大学,高级管理人员工商管理
郑人豪,男,汉族,1968年6月,广东汕头,全国人大代表,中共,广东,在职研究生,法学博士,中国政法大学,宪法与行政法学
郑伟,男,汉族,1957年1月,江西南昌,全国人大代表,中共,广东,研究生,管理学博士,华中农业大学,植物营养与施肥专业
郑红,男,汉族,1954年8月,海南文昌,全国人大代表,中共,广东,大学本科,文学学士,中山大学,汉语言文学
郑鄂,男,汉族,1952年11月,山东济南,全国人大代表,中共,广东,中央党校研究生,,中央党校,法学
孟祥凯,男,汉族,1961年4月,辽宁西丰,全国人大代表,中共,广东,在职研究生,工学硕士,北京航空航天大学,工业外贸专业
赵东花,女,汉族,1956年2月,江苏沛县,全国人大法律委员会委员，全国妇联副主席、书记处书记、党组成员，中国妇女儿童博物馆馆长,中共,广东,在职研究生,经济学硕士,吉林大学经济管理学院,国民经济计划与管理
赵雪芳,女,瑶族,1987年6月,广东韶关,全国人大代表,,广东,大专,,湖南民族职业学院,初等教育
胡苇,女,汉族,1976年8月,湖北武汉,全国人大代表,中共,广东,大学本科,法学学士,中南政法学院,国际经济法
胡春华,男,汉族,1963年4月,湖北五峰,全国人大代表,中共,广东,大学本科,文学学士,北京大学,中文
柯云峰,男,汉族,1967年1月,广东茂名,全国人大代表,中共,广东,在职研究生,工商管理硕士,中欧国际管理学院,工商管理专业
钟天华,男,汉族,1962年9月,浙江杭州,全国人大代表,中共,广东,在职研究生,工商管理博士,上海交通大学、法国雷恩高等商业学校,工商管理
钟南山,男,汉族,1936年10月,福建厦门,全国人大代表,中共,广东,大学本科,医学学士,北京医学院,临床医学专业
贺优琳,男,汉族,1955年10月,江西萍乡,全国人大代表,中共,广东,在职研究生,教育学硕士,华东师范大学,教育管理专业
袁志敏,男,汉族,1961年3月,广东阳江,全国人大代表,,广东,研究生,工学硕士,北京理工大学,应用化学
袁利群,女,汉族,1969年6月,浙江宁波,全国人大代表,中共,广东,大学本科,管理学硕士,北方工业大学,会计学
袁宝成,男,汉族,1964年12月,浙江诸暨,全国人大代表,中共,广东,研究生,法学硕士,西南政法大学,民事诉讼法
袁桂彬,男,汉族,1977年1月,广东揭阳,全国人大代表,中共,广东,在职大专,,广东省佛山市广播电视大学,计算机应用与网络专业
倪惠英,女,汉族,1956年2月,湖北武汉,全国人大代表,中共,广东,在职大专,,华中科技大学,行政管理专业
徐少华,男,汉族,1958年1月,广东广州,全国人大代表,中共,广东,在职研究生,学士,中山大学,政治经济学
徐金鹏,男,汉族,1962年2月,湖北黄冈,全国人大代表,中共,广东,大学,文学学士,武汉大学,中文
徐建贤,男,汉族,1984年6月,广东怀集,全国人大代表,中共,广东,在职大专,,广东广播电视大学,乡镇企业管理
翁一岚,女,汉族,1960年5月,广东汕尾,全国人大代表,,广东,高中,,广东省汕尾市城区汕尾中学,
郭锋,男,汉族,1960年9月,广东大埔,全国人大代表,中共,广东,省社科院在职研究生,,广东省社科院,经济管理
黄龙云,男,汉族,1951年11月,广东梅县,全国人大代表,中共,广东,在职研究生,经济学硕士,中山大学,企业管理
黄宁生,男,汉族,1962年12月,河南上蔡,全国人大代表,中共,广东,在职研究生,理学博士,中国地质大学,古生物学及地层学
黄华华,男,汉族,1946年10月,广东兴宁,全国人大常委会委员、全国人大华侨委员会副主任委员,中共,广东,中央党校在职研究生,,中央党校培训部,
黄阳旭,男,汉族,1961年11月,广东廉江,全国人大代表,中共,广东,在职大专,,广东广播电视大学,机械专业
黄丽蓉,女,汉族,1973年10月,广东揭东,全国人大代表,中共,广东,在职大专,,暨南大学,会计专业
黄建平,男,汉族,1963年5月,广东普宁,全国人大代表,中共,广东,大学本科,工学学士,华南理工大学,陶瓷工学
黄细花,女,汉族,1966年1月,江西上高,全国人大代表,中共,广东,研究生,农学博士,江西农业大学,土壤专业
黄炳章,男,汉族,1967年1月,广东惠来,全国人大代表,,广东,大学本科,哲学学士,中南神哲学院,神哲学专业
黄海燕,女,汉族,1980年3月,广东恩平,全国人大代表,中共,广东,在职大学本科,农学学士,华南农业大学,农业管理专业
黄琨,男,汉族,1969年7月,广东陆丰,全国人大代表,中共,广东,在职大学本科,,武汉大学,成人教育学院法律专业
龚稼立,男,汉族,1960年8月,安徽巢湖,全国人大代表,中共,广东,研究生,硕士,,
崔真基,男,汉族,1953年10月,广东电白,全国人大代表,中共,广东,在职研究生,工商管理硕士,美国国际管理科技大学,工商管理
梁凤仪,女,汉族,1954年6月,广东佛山,全国人大代表,中共,广东,在职大专,,佛山大学,工商企业管理
梁志毅,男,汉族,1972年8月,广东鹤山,全国人大代表,中共,广东,在职大专,,佛山科学技术学院,人力资源管理
彭建文,男,汉族,1966年10月,广东中山,全国人大代表,中共,广东,省社科院在职研究生,高级管理人员工商管理硕士,省社科院、中山大学,经济管理、高级管理人员工商管理
董明珠,女,汉族,1954年8月,江苏南京,全国人大代表,民建,广东,在职研究生,,中国社会科学院,市场经济专业
韩春剑,男,汉族,1967年7月,广东雷州,全国人大代表,中共,广东,在职研究生,管理学硕士,中山大学,工商管理专业
覃春辉,女,壮族,1986年2月,广东连山,全国人大代表,中共,广东,高中,,连山民族中学,
鲁修禄,男,汉族,1962年1月,湖北洪湖,全国人大代表,民进,广东,在职研究生,管理学博士,华南农业大学,农业经济管理专业
鲁毅,男,汉族,1964年10月,湖北武汉,全国人大代表,中共,广东,研究生,博士,,
曾志权,男,汉族,1963年1月,广东五华,全国人大代表,中共,广东,在职研究生,高级管理人员工商管理硕士,中山大学,高级管理人员工商管理
曾香桂,女,汉族,1979年7月,湖南新宁,全国人大代表,,广东,在职大专,,广东商学院,工商管理专业
温鹏程,男,汉族,1962年10月,广东新兴,全国人大代表,中共,广东,高中,硕士,北京大学,
谢舒雯,女,汉族,1975年10月,广东连平,全国人大代表,中共,广东,大专,,佛山科学技术学院,乡镇电气技术专业
赖坤洪,男,汉族,1962年8月,广东清远,全国人大代表,民盟,广东,在职大专,,韶关教育学院,数学专业
雷于蓝,女,汉族,1952年9月,广东台山,全国人大代表,中共,广东,中央党校在职研究生,经济学硕士,中央党校、对外经济贸易大学,国际贸易学专业
雷军,男,汉族,1969年12月,湖北仙桃,全国人大代表,中共,广东,大学本科,理学学士,武汉大学,软件专业
雷晓凌,女,汉族,1963年1月,广东遂溪,全国人大代表,中共,广东,在职研究生,工学博士,华南理工大学,发酵工程专业
简勤,男,汉族,1966年3月,江西樟树,全国人大代表,中共,广东,研究生,经济学博士,江西财经大学,产业经济学专业
谭君铁,男,汉族,1968年1月,广东阳东,全国人大代表,中共,广东,在职研究生,管理学硕士,中山大学,行政管理专业
熊锦梅,女,汉族,1967年10月,广东阳春,全国人大代表,农工党,广东,在职大学本科,,广州医学院,临床医学
潘皓炫,男,汉族,1959年9月,广东广州,全国人大代表,中共,广东,省委党校在职研究生,管理学博士,澳门科技大学,管理学专业
戴振秋,男,汉族,1962年8月,广东阳江,全国人大代表,中共,广东,在职大专,,广东省委党校,贸易经济
马飚,男,壮族,1954年08月,广西田阳,全国人大代表,中共,广西,大学本科,经济学学士,中央民族学院,政治经济学
王凯,男,汉族,1962年07月,河南洛阳,全国人大代表,中共,广西,研究生,经济学博士,中国人民大学,政治经济学
王碧含,男,汉族,1958年02月,福建惠安,全国人大代表,中共,广西,研究生,,解放军西安政治学院,军事法学
韦飞燕,女,壮族,1964年08月,广西柳州,全国人大代表,中共,广西,研究生,工商管理硕士,广西师范大学,投资经济
韦丽萍,女,壮族,1968年10月,广西柳州,全国人大代表,民盟,广西,大专,,广西艺术学院,音乐教育
韦国邱,男,壮族,1973年3月,广西都安,全国人大代表,中共,广西,大学本科,,广西自治区党委党校,经济管理
韦柳春,女,壮族,1963年3月,广西来宾,全国人大代表,民进,广西,大学本科,文学学士,湖北艺术学院,钢琴
韦秋利,男,壮族,1962年09月,广西马山,全国人大代表,九三学社,广西,研究生,,广西大学,政治经济学
牙庭科,男,壮族,1962年12月,广西东兰,全国人大代表,中共,广西,大专,,广西民族学院,政治教育
邓先,男,壮族,1962年6月,广西贵港,全国人大代表,中共,广西,高中,,,
甘善泽,男,壮族,1970年09月,广西南宁,全国人大代表,民建,广西,大学本科,学士,安徽工学院,汽车设计与制造
甘精华,女,壮族,1969年07月,广西田东,全国人大代表,,广西,大学本科,学士,广西医科大学,临床医学
龙丽萍,女,壮族,1965年8月,广西柳江,全国人大代表,民盟,广西,研究生,农学博士,华南农业大学,农业昆虫学
卢奇能,女,壮族,1972年06月,广西扶绥,全国人大代表,中共,广西,中专,,广西百色地区民族卫生学校,护理
卢献匾,男,壮族,1964年01月,广西环江,全国人大代表,中共,广西,研究生,,广西师范大学,经济史
白希,男,满族,1961年12月,辽宁新民,全国人大代表,中共,广西,研究生,法学博士,吉林大学,政治学理论
冯碧红,女,满族,1965年5月,广西靖西,全国人大代表,,广西,大学本科,,广西教育学院,汉语言文学
朱学庆,男,汉族,1964年4月,河南郑州,全国人大代表,中共,广西,大学,经济学硕士,郑州工学院,水利水电工程建筑
朱逢民,男,汉族,1963年3月,山东泰安,全国人大代表,中共,广西,大学本科,,哈尔滨工业大学,企业管理
朱惠英,女,汉族,1965年8月,浙江宁波,全国人大代表,九三学社,广西,研究生,工学博士,武汉工业大学,无机非金属材料
向惠玲,女,壮族,1969年10月,广西田东,全国人大代表,民革,广西,大学本科,,广西师范大学,音乐学
危朝安,男,汉族,1955年10月,江西南城,全国人大代表,中共,广西,研究生,经济学学士,中央党校,法学原理
农卫红,女,壮族,1964年01月,广西横县,全国人大代表,,广西,研究生,工学硕士,清华大学,工程水文及水资源
阮爱兴,男,京族,1972年5月,广西东兴,全国人大代表,中共,广西,大专,,广西农业职业技术学院,农学
苏家红,男,壮族,1965年09月,广西平果,全国人大代表,中共,广西,研究生,工学博士,中南大学,安全技术及工程
李宁波,男,汉族,1962年01月,福建闽侯,全国人大代表,中共,广西,研究生,工商管理硕士,广西师范大学,国民经济学
李永林,男,壮族,1967年03月,广西临桂,全国人大代表,中共,广西,研究生,工学硕士,华东理工大学,化学工艺
李志刚,男,汉族,1956年10月,河北新城,全国人大代表,中共,广西,研究生,医学学士,中央党校函授学院,经济管理
李连宁,男,汉族,1954年10月,江苏沛县,全国人大常委会委员、全国人大法律委员会副主任委员,中共,广西,研究生,法学硕士,厦门大学,民法学
李欣蓉,女,壮族,1985年10月,广西来宾,全国人大代表,中共,广西,大学,工学学士,吉林大学珠海学院,电子信息科学与技术
李敏,女,壮族,1962年04月,广西隆安,全国人大代表,,广西,大学,公共卫生硕士,中山医学院,医学
李康,女,壮族,1957年5月,广西扶绥,全国人大代表,中共,广西,研究生,文学学士,广西师范大学,经济史
李森,男,壮族,1961年8月,广西扶绥,全国人大代表,,广西,大学,理学学士,中山大学,高分子化学
杨和荣,男,汉族,1958年11月,江西宜春,全国人大代表,中共,广西,研究生,管理学博士,西南农业大学,农业经济管理
杨道喜,男,汉族,1954年2月,广西钦州,全国人大代表,中共,广西,研究生,,广西大学,政治经济学
肖莺子,女,壮族,1963年03月,广西来宾,全国人大代表,中共,广西,研究生,经济学学士,广西大学,政治经济学
吴永春,男,侗族,1959年12月,广西三江,全国人大代表,中共,广西,研究生,,广西师范大学,国民经济学
吴恒,男,汉族,1956年12月,湖北黄梅,全国人大常委会委员，全国人大教育科学文化卫生委员会副主任委员,中共,广西,研究生,理学博士,中国科学院地质研究所,环境工程地质
何辛幸,男,汉族,1962年09月,山东滨州,全国人大代表,中共,广西,研究生,工学学士,广西大学,政治经济学
余仁春,男,壮族,1973年6月,广西河池,全国人大代表,中共,广西,大专,,广西大学,法律
张千里,男,满族,1967年12月,辽宁铁岭,全国人大代表,中共,广西,大学,工商管理硕士,西南交通大学,热能动力机械与装置
张振玉,男,壮族,1967年02月,广西忻城,全国人大代表,,广西,大学,理学学士,广西师范大学,化学教育
张福维,男,壮族,1962年01月,广西钦州,全国人大代表,中共,广西,大学,医学学士,广西医科大学,医疗
陈仲,男,汉族,1956年10月,福建福州,全国人大代表,致公党,广西,研究生,工学硕士,上海机械学院,机械
陈武,男,壮族,1954年11月,广西崇左,全国人大代表,中共,广西,研究生,哲学学士,中央党校,法学
陈保善,男,壮族,1959年11月,广西武宣,全国人大代表,中共,广西,研究生,哲学博士,澳大利亚Adelaide大学,植物病毒学
林武民,男,瑶族,1967年06月,广西恭城,全国人大代表,中共,广西,广西区党校研究生,,广西自治区党委党校,行政管理
罗朝阳,男,壮族,1963年08月,广西田阳,全国人大代表,中共,广西,高中,,,
罗殿龙,男,壮族,1952年5月,广西贵港,全国人大代表,中共,广西,研究生,哲学学士,中央党校,法学理论
周异决,男,壮族,1965年12月,广西贵港,全国人大代表,中共,广西,研究生,经济学博士,北京大学,区域经济学
周红波,男,汉族,1970年10月,广西临桂,全国人大代表,中共,广西,研究生,农业推广硕士,广西自治区党委党校,党政管理
周建军,男,汉族,1960年04月,四川什邡,全国人大代表,九三学社,广西,研究生,工学博士,中国水利水电科学研究院,
周家斌,男,汉族,1964年09月,山东鄄城,全国人大代表,中共,广西,研究生,工学博士,中国地质大学,地质工程
郑俊康,男,汉族,1959年10月,浙江宁波,全国人大代表,中共,广西,大学,工学学士,武汉测绘学院,大地测绘
赵德明,男,瑶族,1963年9月,广西金秀,全国人大常委会委员、全国人大民族委员会委员，中共广西壮族自治区贺州市委书记、市人大常委会主任,中共,广西,研究生,高级管理人员工商管理硕士,中央党校,经济管理
钟志英,女,汉族,1955年6月,广东焦岭,全国人大代表,中共,广西,大专,,广西广播电视大学,党政干部专修班
祝雪兰,女,瑶族,1971年11月,广西苍梧,全国人大代表,中共,广西,中专,,广西科学技术学院,种养
莫小莎,女,壮族,1958年03月,广西贵港,全国人大代表,民革,广西,大学,经济学学士,中国人民大学,经济
莫小峰,女,壮族,1967年11月,广西钟山,全国人大代表,,广西,大学,法学学士,中国人民大学,人口学
莫恭明,男,汉族,1962年9月,广西岑溪,全国人大代表,中共,广西,研究生,公共管理硕士,广西大学、新加坡南洋理工大学,公共管理
晏平,男,汉族,1960年5月,辽宁新金,全国人大代表,中共,广西,研究生,经济学硕士,东北财经大学,统计学
郭声琨,男,汉族,1954年10月,江西兴国,全国人大代表,中共,广西,研究生,管理学博士,北京科技大学,管理科学与工程
唐农,男,汉族,1962年04月,广西贺州,全国人大代表,中共,广西,研究生,医学博士,湖南中医学院,中医内科学
唐锦波,男,壮族,1962年1月,广西武鸣,全国人大代表,中共,广西,大专,,北京体育大学,运动训练
黄方方,男,壮族,1958年10月,广西天等,全国人大代表,中共,广西,研究生,理学博士,中国地质大学（北京）,矿床学
黄伟京,男,汉族,1962年9月,广西贺州,全国人大代表,中共,广西,大学,,中央党校函授学院,经济管理
黄克,男,壮族,1956年11月,广西东兰,全国人大代表,中共,广西,研究生,,中央党校研究生院,马克思主义哲学
黄启江,男,壮族,1962年08月,广西平果,全国人大代表,中共,广西,研究生,,焦作工学院,采矿工程
黄超,女,壮族,1977年01月,广西南宁,全国人大代表,民建,广西,大学,法学学士,广西师范学院,法学
黄道伟,男,汉族,1957年10月,广西博白,全国人大代表,中共,广西,研究生,法学学士,中央党校,政治理论
崔智友,男,汉族,1957年10月,河南温县,全国人大代表,中共,广西,研究生,法学博士,中国社会科学院,中国近现代政治思想史
阎保平,女,汉族,1950年07月,山东烟台,全国人大代表,中共,广西,研究生,博士,西安交通大学,系统工程
梁丽娜,女,汉族,1985年10月,广西陆川,全国人大代表,中共,广西,研究生,理学硕士,广西师范大学,理论物理
梁胜利,男,壮族,1953年08月,广西田阳,全国人大常委会委员、全国人大民族委员会委员,中共,广西,研究生,,中央党校,经济管理
彭清华,男,汉族,1957年4月,湖北大冶,全国人大代表,中共,广西,研究生,管理学博士,中山大学,企业管理
蒋锦坤,男,苗族,1972年8月,广西龙胜,全国人大代表,中共,广西,中专,,广西桂林农业学校,果树栽培技术
覃建宁,女,壮族,1967年06月,广东罗定,全国人大代表,农工党,广西,研究生,工商管理硕士,英国桑德兰大学,工商行政管理
程克,男,汉族,1962年06月,广东茂名,全国人大代表,,广西,大专,,广东省茂名广播电视大学,公共管理
谢世梅,女,苗族,1972年07月,广西融安,全国人大代表,民进,广西,大学,,西南大学,化学
谢显术,男,汉族,1962年6月,广西大化,全国人大代表,中共,广西,大专,,南宁师范高等专科学校,数学
蓝春桃,女,瑶族,1975年10月,广西大化,全国人大代表,,广西,研究生,,广西师范大学,英语教学论
蓝锋杰,男,壮族,1963年06月,广西上林,全国人大代表,中共,广西,研究生,,广西自治区党委党校,党政管理
赖学佳,男,汉族,1968年8月,广西容县,全国人大代表,,广西,大学,,广西大学,食品科学与工程
雍瑞生,男,汉族,1965年11月,宁夏中卫,全国人大代表,中共,广西,研究生,博士,华中科技大学,工程管理
谭梦曦,男,毛南族,1969年06月,广西环江,全国人大代表,,广西,大专,,广西艺术学院,美术
樊一平,男,壮族,1964年7月,广西都安,全国人大代表,致公党,广西,大专,,河池师范高等专科学校,中文
潘夏莉,女,瑶族,1980年5月,广西钟山,全国人大代表,,广西,大学,,广西师范大学,音乐教育
戴波,男,汉族,1960年10月,四川荣县,全国人大代表,中共,广西,大学,工学学士,成都科技大学,水利工程建筑
卫留成,男,汉族,1946年8月,河南泌阳,全国人大常委会委员、全国人大环境与资源保护委员会副主任委员,中共,海南,大学,,北京石油学院,测井专业
王勇,男,汉族,1957年02月,山东阳谷,全国人大代表,中共,海南,中央党校研究生,,中央党校,
王彬,男,汉族,1964年01月,四川资中,全国人大代表,中共,海南,研究生,经济学博士,西南财经大学,财政学专业
王雄,男,黎族,1957年07月,海南五指山,全国人大代表,中共,海南,大学,,广东民族学院,数理专业
邓泽永,男,苗族,1962年12月,海南乐东,全国人大代表,中共,海南,中央党校研究生,,中央党校,经济学专业
吉明江,男,黎族,1963年05月,海南乐东,全国人大代表,中共,海南,中央党校研究生,,中央党校,
吕薇,女,汉族,1956年8月,上海市,全国人大常委会委员、全国人大财政经济委员会委员，国务院发展研究中心技术经济研究部部长,中共,海南,研究生,博士,同济大学,管理科学与工程专业
刘赐贵,男,汉族,1955年09月,福建泉州,全国人大代表,中共,海南,研究生,,,
李国梁,男,汉族,1964年10月,山东曹县,全国人大代表,中共,海南,研究生,工学博士,华东石油学院,
李建保,男,汉族,1959年04月,江西南昌,全国人大代表,中共,海南,研究生,工学博士,日本东京大学,材料化学专业
杨洁篪,男,汉族,1950年05月,上海市,全国人大代表,中共,海南,职研究生,职研究生,,
肖杰,男,汉族,1960年10月,广东雷州,全国人大代表,中共,海南,研究生,法学硕士,杭州大学,中共党史专业
余永华,男,汉族,1957年07月,广东梅县,全国人大代表,中共,海南,大专,,北京社会函授大学,商业企业经营管理专业
张磊,男,汉族,1961年04月,河北昌黎,全国人大代表,中共,海南,研究生,工学硕士,中国科学院金属研究所,金属材料与热处理专业
林回福,男,汉族,1956年09月,福建泉州,全国人大代表,中共,海南,大学,经济学学士,辽宁财经学院,基建财务与信用专业
林美娟,女,黎族,1975年07月,海南保亭,全国人大代表,中共,海南,中专,,海南省保亭进修师范学校,
罗保铭,男,汉族,1952年10月,天津市,全国人大代表,中共,海南,研究生,历史学硕士,南开大学,明清史专业
周公卒,男,汉族,1956年10月,湖北浠水,全国人大代表,中共,海南,大学,工学学士,华中农学院,农机修造专业
郝如玉,男,汉族,1948年7月,北京市,全国人大常委会委员、全国人大财政经济委员会副主任委员，中国注册税务师协会副会长,中共,海南,大学学历,,中央财政金融学院,财政专业
钟春燕,女,汉族,1962年03月,浙江海宁,全国人大代表,,海南,大专,,中山大学,
倪强,男,汉族,1966年5月,江苏镇江,全国人大代表,中共,海南,研究生,管理学博士,天津大学,管理科学与工程专业
高之国,男,汉族,1955年7月,山西长治,全国人大外事委员会委员，国家海洋局海洋发展战略所所长，联合国国际海洋法法庭法官,中共,海南,研究生,法学博士,加拿大达尔豪斯大学法学院,国际法专业
黄月芳,女,黎族,1966年08月,海南五指山,全国人大代表,中共,海南,高中,,,
符兴,男,汉族,1951年1月,海南文昌,全国人大华侨委员会委员，海南省人大常委会原副主任、党组原副书记,中共,海南,中央党校研究生,,中央党校,
符跃兰,女,黎族,1953年09月,海南白沙,全国人大常委会委员、全国人大民族委员会委员，海南省人大常委会副主任、党组副书记,中共,海南,中央党校大学,,中央党校,
戴金益,男,汉族,1957年08月,湖南衡阳,全国人大代表,中共,海南,研究生,,西安政治学院,
马正其,男,汉族,1959年3月,重庆市,全国人大代表,中共,重庆,中央党校研究生,,中央党校,法学理论
马忠源,男,汉族,1953年10月,上海市,全国人大代表,中共,重庆,研究生,法学硕士,吉林大学,民商法学
王元楷,男,苗族,1955年3月,重庆市,全国人大代表,中共,重庆,市委党校研究生,,重庆市委党校,区域经济学
王海燕,女,汉族,1976年7月,重庆市,全国人大代表,中共,重庆,大专,,,
王鸿举,男,汉族,1945年10月,重庆市,全国人大环境与资源保护委员会副主任委员,中共,重庆,大学本科,,四川大学,数学
冉冉,女,土家族,1964年4月,重庆市,全国人大代表,,重庆,研究生,,西南师大,中文
冯跃,男,汉族,1958年6月,四川绵竹,全国人大代表,中共,重庆,重庆市委党校,,重庆市委党校,宪法学与行政法学
刘占芳,男,汉族,1963年9月,黑龙江哈尔滨,全国人大代表,民进,重庆,研究生,工学博士,重庆大学,固体力学
刘希娅,女,汉族,1973年12月,重庆市,全国人大代表,中共,重庆,大学,,重庆师范大学,汉语言文学
刘建忠,男,汉族,1963年3月,重庆市,全国人大代表,中共,重庆,研究生,工程硕士,重庆大学,工业工程
刘钟俊,男,汉族,1976年3月,重庆市,全国人大代表,中共,重庆,初中,,,
刘群,男,汉族,1965年9月,重庆市,全国人大代表,民盟,重庆,研究生,经济学硕士,西南大学,区域经济学
闫小培,女,汉族,1956年3月,重庆市,全国人大常委会委员、全国人大环境与资源保护委员会委员，致公党中央专职副主席,致公党,重庆,研究生,理学博士,中山大学,
